textID	#words	title
-----	-----	-----

1514	1986	Albert, Duke in Prussia
2514	875	Aswan
3514	653	Government of Barbados
4514	1895	Genetically modified maize
6514	1580	County Dublin
7514	687	Christine Lavin
9514	1580	Edvard Grieg
12514	5576	Ghost
17514	8733	Latvia
19514	3447	May 6
21514	6331	Nanomedicine
22514	2104	Obelix
24514	5899	Psychosis
26514	873	Roald Hoffmann
30514	2614	The Pogues
31514	2553	Beyonder
33514	3252	War of the Polish Succession
35514	1150	1838
37514	6641	Depleted uranium
38514	360	Broadband Integrated Services Digital Network
39514	335	1344
40514	3893	United States presidential election, 1844
42514	284	1289
44514	824	Mahikeng
47514	128	Cloud albedo
49514	1688	Henri Lebesgue
53514	3396	Edith Cavell
54514	202	Pedal
55514	46	960s BC
60514	275	193 BC
61514	363	The Story of Louis Pasteur
63514	4023	Campinas
65514	390	Chico Heat
66514	507	Temple Mount and Eretz Yisrael Faithful Movement
67514	1300	Ununpentium
78514	389	Meliae
80514	116	Eirene (artist)
89514	3492	New London, Connecticut
90514	770	AgwÇ
91514	451	Live Oak County, Texas
92514	569	Detergent
93514	20	Lakota mythology
94514	1538	Taney County, Missouri
95514	1174	Warren County, Kentucky
96514	11	Papare
98514	6031	Green anarchism
100514	76	Arundhati
103514	109	Whitsunday Islands National Park
105514	350	Chignik Lagoon, Alaska
107514	641	Pearsonville, California
108514	633	Tabernash, Colorado
109514	368	Ocean City, Florida
110514	568	Kahuku, Hawaii
111514	880	Steward, Illinois
112514	605	Albion, Indiana
114514	649	Walnut, Kansas
115514	347	Ida, Louisiana
116514	1327	Clinton, Maryland
117514	37	Marum
118514	52	Ambt Montfort
119514	346	Foster Township, Big Stone County, Minnesota
120514	326	Lac qui Parle Township, Lac qui Parle County, Minnesota
121514	328	Vail Township, Redwood County, Minnesota
122514	501	Milford, Missouri
124514	936	Hart's Location, New Hampshire
125514	2289	Tinton Falls, New Jersey
126514	1025	German Flatts, New York
127514	2305	Hebron, New York
128514	559	Wales, North Dakota
129514	847	Granville, Ohio
130514	689	Perkins, Oklahoma
131514	482	Cornwells Heights-Eddington, Pennsylvania
132514	903	Belle Vernon, Pennsylvania
133514	371	Herndon, Pennsylvania
134514	1074	Ninety Six, South Carolina
135514	1268	Clifton, Texas
136514	336	Bogata, Texas
137514	332	Blue Ridge, Virginia
138514	515	Oakvale, West Virginia
139514	353	Maple Creek, Wisconsin
141514	58	Madison Township, Pennsylvania
142514	1554	Yeshivish
143514	533	East Dunbartonshire
144514	1087	Giza
145514	367	Chysauster Ancient Village
146514	148	Trehoje Municipality
151514	2692	Cantinflas
157514	57	Herne, Belgium
161514	88	Inherit the Wind
162514	193	Mingus Big Band
163514	210	Buckeye
166514	1525	Antonin Scalia
170514	264	Suzanne Crough
172514	578	1907 in film
173514	894	Gambit
174514	6475	River Mole
176514	2834	The Beggar's Opera
177514	80	RLM
180514	1936	MC Solaar
185514	1211	Spiritual (music)
187514	183	Rest
188514	1080	Dexter Holland
195514	57	Berylliosis
197514	932	Suffer (album)
198514	1039	Sugar Ray Leonard vs. Thomas Hearns
200514	1381	Adeliza of Louvain
202514	779	Michael Morris, 3rd Baron Killanin
